"uniq_id","year","q1","q2y","ed","wc1","wc3","wc2","r4a","r5","r6","r12","r15","q5b","prov","municipio","municipio_label","colrecon6","colrecon7","colrecon8","colrecon18","centro","ur","l1","colpaz4a","colpaz6a","colpropaz5","colwc5","colwc6","colwc7","colwc8","colwc9","colpropaz6","coljp5","colconce1","colrecon3","colconce7","coldis35f","colrecon12","colpropaz11a","colpact1","colpropaz13k","coljepaa1","colconce6","prov_label","rebel_controlled"
16080318,2016,"Women",29,11,1,2,1,1,0,0,1,0,1,"850",850001,"VILLAVICENCIO",NA,6,NA,6,NA,1,NA,1,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"Meta",0
16081476,2016,"Women",24,14,2,2,2,1,0,1,1,1,2,"868",868001,"BUCARAMANGA",NA,4,NA,8,NA,1,5,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"Santander",0
16080497,2016,"Men",62,9,2,2,2,1,0,1,1,1,1,"805",805001,"MEDELLIN",10,NA,10,NA,NA,1,1,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,0,NA,7,7,NA,NA,NA,"Antioquia",1
16080957,2016,"Women",31,11,2,2,2,1,0,1,1,1,1,"868",868081,"BARRANCABERMEJA",NA,3,NA,2,NA,1,5,NA,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Santander",0
16080272,2016,"Women",47,17,2,2,2,1,0,1,1,1,1,"850",850001,"VILLAVICENCIO",NA,1,NA,1,NA,1,5,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Meta",0
16080221,2016,"Men",82,0,2,2,2,0,0,1,1,0,1,"873",873001,"IBAGUE",4,NA,7,NA,NA,1,7,1,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,0,NA,3,6,NA,NA,NA,"Tolima",1
16080014,2016,"Men",64,11,1,2,2,1,0,0,1,1,1,"868",868081,"BARRANCABERMEJA",5,NA,7,NA,0,1,10,1,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,4,6,NA,NA,NA,"Santander",0
16080601,2016,"Women",36,12,2,2,2,1,0,1,1,0,1,"818",818001,"FLORENCIA",3,NA,5,NA,NA,1,3,1,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,2,2,NA,NA,NA,"Caquetá",1
16080224,2016,"Men",58,11,2,2,2,1,0,0,1,1,1,"808",808001,"BARRANQUILLA",1,NA,1,NA,0,1,NA,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,7,1,NA,NA,NA,"Atlántico",0
16081004,2016,"Men",80,0,2,2,2,1,0,1,1,1,1,"813",813430,"MAGANGUE",4,NA,3,NA,0,1,10,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,0,NA,3,5,NA,NA,NA,"Bolívar",0
16080963,2016,"Men",20,10,2,2,2,1,0,1,1,1,2,"825",825307,"GIRARDOT",NA,5,NA,4,NA,1,4,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"Cundinamarca",1
